+--------------------+------------+------------+------------+------------+------------+
|      Palabra       | P3/TC1.txt | P3/TC2.txt | P3/TC3.txt | P3/TC4.txt | P3/TC5.txt |
|        ear         |     0      |     0      |     0      |     1      |     0      |
|        earl        |     0      |     0      |     0      |     0      |     2      |
|      earliest      |     0      |     0      |     0      |     0      |     2      |
|        earn        |     0      |     0      |     0      |     1      |     0      |
|       earned       |     0      |     0      |     0      |     0      |     1      |
|      earning       |     0      |     0      |     0      |     2      |     0      |
|      earnings      |     0      |     0      |     0      |     0      |     1      |
|        ears        |     0      |     0      |     0      |     0      |     1      |
|       earth        |     0      |     0      |     1      |     0      |     0      |
|       easier       |     0      |     0      |     1      |     0      |     0      |
|       eating       |     0      |     0      |     0      |     1      |     0      |
|        eau         |     0      |     0      |     0      |     0      |     3      |
|       ebony        |     1      |     0      |     0      |     0      |     0      |
|       ebook        |     0      |     0      |     0      |     0      |     2      |
|         ec         |     0      |     0      |     0      |     0      |     1      |
|     ecological     |     0      |     0      |     0      |     0      |     2      |
|      ecology       |     0      |     0      |     1      |     0      |     0      |
|     economies      |     0      |     0      |     0      |     0      |     1      |
|      economy       |     0      |     0      |     0      |     0      |     1      |
|       eddie        |     0      |     0      |     0      |     0      |     1      |
|      edition       |     0      |     0      |     0      |     1      |     0      |
|      editions      |     0      |     0      |     0      |     0      |     1      |
|     editorials     |     0      |     0      |     0      |     0      |     1      |
|      editors       |     0      |     0      |     0      |     0      |     1      |
|      edmonton      |     0      |     0      |     1      |     0      |     2      |
|        eds         |     0      |     0      |     0      |     1      |     0      |
|        edt         |     0      |     0      |     0      |     0      |     1      |
|    educational     |     0      |     0      |     0      |     0      |     1      |
|         ef         |     0      |     0      |     0      |     1      |     0      |
|     effective      |     0      |     0      |     0      |     1      |     1      |
|      effects       |     0      |     0      |     0      |     1      |     0      |
|     efficiency     |     0      |     0      |     0      |     0      |     2      |
|     efficient      |     0      |     0      |     0      |     0      |     1      |
|      efforts       |     0      |     0      |     0      |     0      |     1      |
|       egypt        |     0      |     0      |     0      |     0      |     1      |
|         eh         |     0      |     0      |     0      |     0      |     1      |
|         el         |     0      |     0      |     0      |     0      |     2      |
|       elect        |     0      |     0      |     0      |     0      |     2      |
|      elected       |     0      |     0      |     0      |     0      |     1      |
|      election      |     0      |     0      |     0      |     0      |     1      |
|     electrical     |     0      |     0      |     0      |     1      |     1      |
|      electro       |     0      |     0      |     1      |     0      |     0      |
|      elegant       |     0      |     0      |     0      |     0      |     1      |
|      elements      |     0      |     0      |     0      |     0      |     1      |
|      elephant      |     0      |     0      |     1      |     0      |     0      |
|      eligible      |     0      |     0      |     0      |     0      |     1      |
|       elite        |     0      |     0      |     1      |     0      |     0      |
|     elizabeth      |     0      |     0      |     0      |     0      |     1      |
|     elsewhere      |     0      |     0      |     0      |     1      |     0      |
|       elvis        |     0      |     0      |     0      |     0      |     1      |
|       emails       |     0      |     0      |     0      |     0      |     1      |
|      embedded      |     0      |     0      |     0      |     0      |     1      |
|      emerald       |     0      |     0      |     0      |     0      |     1      |
|     emergency      |     0      |     0      |     0      |     1      |     0      |
|       emily        |     0      |     0      |     0      |     0      |     1      |
|      emirates      |     0      |     0      |     0      |     0      |     2      |
|      emotions      |     0      |     0      |     1      |     0      |     1      |
|      emperor       |     0      |     0      |     0      |     0      |     1      |
|      emphasis      |     0      |     0      |     0      |     0      |     2      |
|      employee      |     0      |     0      |     0      |     1      |     0      |
|      employer      |     0      |     0      |     0      |     0      |     2      |
|     employers      |     0      |     0      |     0      |     0      |     4      |
|     employment     |     0      |     0      |     0      |     0      |     1      |
|       enable       |     0      |     0      |     0      |     0      |     1      |
|      enabled       |     0      |     0      |     0      |     0      |     1      |
|      enables       |     0      |     0      |     1      |     0      |     0      |
|        enb         |     0      |     0      |     0      |     0      |     2      |
|     enclosure      |     0      |     0      |     0      |     1      |     1      |
|     encounter      |     0      |     0      |     0      |     0      |     1      |
|     encourages     |     0      |     0      |     0      |     0      |     1      |
|    encouraging     |     0      |     0      |     0      |     0      |     1      |
|     encryption     |     0      |     0      |     0      |     1      |     0      |
|       ending       |     0      |     0      |     0      |     1      |     0      |
|      endless       |     0      |     0      |     0      |     0      |     1      |
|    endorsement     |     0      |     0      |     1      |     0      |     0      |
|       energy       |     0      |     0      |     1      |     1      |     0      |
|      engaged       |     0      |     0      |     0      |     1      |     1      |
|    engineering     |     0      |     0      |     0      |     1      |     2      |
|      england       |     0      |     0      |     0      |     0      |     2      |
|      enhanced      |     1      |     0      |     0      |     0      |     0      |
|    enhancement     |     0      |     0      |     0      |     1      |     0      |
|    enhancements    |     0      |     0      |     0      |     0      |     1      |
|    enlargement     |     0      |     0      |     0      |     0      |     1      |
|      enormous      |     0      |     0      |     1      |     0      |     0      |
|       ensure       |     0      |     0      |     0      |     0      |     1      |
|       enter        |     0      |     0      |     0      |     0      |     1      |
|      entering      |     0      |     0      |     0      |     1      |     1      |
|     enterprise     |     0      |     0      |     0      |     0      |     1      |
|   entertainment    |     0      |     0      |     0      |     1      |     0      |
|       entity       |     0      |     0      |     0      |     0      |     1      |
|   entrepreneurs    |     0      |     0      |     0      |     0      |     2      |
|      entries       |     0      |     0      |     0      |     0      |     3      |
|   environmental    |     0      |     0      |     1      |     0      |     1      |
|        eos         |     0      |     0      |     0      |     0      |     1      |
|         ep         |     0      |     0      |     0      |     0      |     2      |
|        epic        |     0      |     0      |     0      |     1      |     0      |
|      episode       |     0      |     0      |     0      |     0      |     1      |
|      episodes      |     0      |     0      |     0      |     0      |     1      |
|    equilibrium     |     0      |     0      |     0      |     1      |     0      |
|      equipped      |     0      |     0      |     1      |     1      |     0      |
|       equity       |     0      |     0      |     0      |     0      |     1      |
|     equivalent     |     0      |     0      |     0      |     1      |     0      |
|         er         |     0      |     0      |     0      |     0      |     2      |
|        eric        |     0      |     0      |     0      |     0      |     1      |
|      ericsson      |     0      |     0      |     0      |     0      |     1      |
|        erik        |     0      |     0      |     0      |     0      |     1      |
|       erotic       |     0      |     0      |     0      |     0      |     1      |
|      erotica       |     0      |     0      |     0      |     0      |     1      |
|        erp         |     0      |     0      |     0      |     1      |     0      |
|         es         |     0      |     0      |     0      |     1      |     0      |
|       escort       |     0      |     0      |     0      |     1      |     0      |
|      escorts       |     0      |     0      |     0      |     0      |     1      |
|        espn        |     0      |     0      |     0      |     1      |     0      |
|       essay        |     0      |     0      |     0      |     0      |     1      |
|      essence       |     0      |     0      |     0      |     0      |     2      |
|     essential      |     0      |     0      |     0      |     0      |     1      |
|        est         |     0      |     0      |     0      |     1      |     1      |
|    establishing    |     0      |     0      |     0      |     0      |     2      |
|     estimates      |     0      |     0      |     0      |     1      |     1      |
|     estimation     |     0      |     0      |     0      |     0      |     1      |
|      estonia       |     0      |     0      |     0      |     1      |     0      |
|         et         |     0      |     0      |     1      |     0      |     0      |
|        etc         |     0      |     0      |     0      |     1      |     0      |
|      eternal       |     0      |     0      |     0      |     0      |     1      |
|       ethics       |     0      |     0      |     0      |     1      |     0      |
|       eugene       |     0      |     0      |     0      |     0      |     1      |
|        eur         |     0      |     0      |     0      |     0      |     1      |
|        euro        |     0      |     0      |     0      |     0      |     3      |
|      european      |     0      |     0      |     0      |     0      |     1      |
|     evaluating     |     0      |     0      |     0      |     0      |     1      |
|    evaluations     |     0      |     0      |     0      |     0      |     2      |
|       evans        |     0      |     0      |     0      |     0      |     2      |
|      evening       |     0      |     0      |     0      |     0      |     1      |
|       event        |     0      |     0      |     0      |     0      |     2      |
|       events       |     0      |     0      |     0      |     0      |     1      |
|     eventually     |     0      |     0      |     0      |     0      |     1      |
|        ever        |     0      |     0      |     0      |     0      |     1      |
|     everywhere     |     0      |     0      |     0      |     1      |     2      |
|        evil        |     0      |     0      |     1      |     0      |     0      |
|     evolution      |     0      |     0      |     0      |     0      |     1      |
|         ex         |     0      |     0      |     0      |     1      |     0      |
|      exactly       |     0      |     0      |     0      |     1      |     0      |
|    examinations    |     0      |     0      |     0      |     0      |     1      |
|     examining      |     0      |     0      |     0      |     0      |     1      |
|      examples      |     0      |     0      |     1      |     0      |     0      |
|       exams        |     0      |     1      |     0      |     0      |     0      |
|     excellence     |     0      |     0      |     1      |     0      |     3      |
|     exception      |     0      |     0      |     0      |     0      |     1      |
|    exceptional     |     0      |     0      |     0      |     0      |     1      |
|     exceptions     |     0      |     0      |     0      |     0      |     1      |
|      excerpt       |     0      |     0      |     0      |     0      |     2      |
|     excessive      |     0      |     1      |     0      |     0      |     1      |
|      exchange      |     0      |     0      |     0      |     0      |     1      |
|     exclusion      |     0      |     0      |     0      |     0      |     2      |
|    exclusively     |     0      |     0      |     0      |     0      |     2      |
|        exec        |     0      |     0      |     0      |     0      |     1      |
|      execute       |     0      |     0      |     0      |     0      |     1      |
|     execution      |     0      |     0      |     0      |     0      |     1      |
|     executive      |     0      |     0      |     0      |     0      |     1      |
|     exemption      |     0      |     0      |     0      |     0      |     1      |
|     exercises      |     0      |     0      |     0      |     0      |     1      |
|      exhaust       |     1      |     0      |     0      |     0      |     0      |
|      exhibit       |     0      |     0      |     0      |     0      |     1      |
|    exhibitions     |     0      |     0      |     0      |     0      |     1      |
|     existence      |     0      |     0      |     0      |     1      |     0      |
|       exists       |     0      |     0      |     0      |     1      |     0      |
|        exit        |     0      |     0      |     0      |     0      |     1      |
|     expanding      |     0      |     0      |     0      |     0      |     2      |
|     expansion      |     0      |     0      |     0      |     1      |     1      |
|      expansys      |     0      |     0      |     0      |     0      |     1      |
|       expect       |     0      |     0      |     0      |     1      |     0      |
|    expectations    |     0      |     0      |     0      |     0      |     1      |
|    expenditures    |     0      |     0      |     0      |     0      |     1      |
|      expenses      |     0      |     0      |     0      |     0      |     1      |
|    experiences     |     0      |     0      |     0      |     0      |     1      |
|      expired       |     0      |     0      |     0      |     1      |     1      |
|      explain       |     0      |     0      |     0      |     1      |     4      |
|      explains      |     0      |     0      |     1      |     0      |     0      |
|      explicit      |     0      |     0      |     0      |     0      |     3      |
|    exploration     |     0      |     0      |     0      |     0      |     1      |
|      explorer      |     1      |     0      |     1      |     0      |     0      |
|     exploring      |     0      |     0      |     0      |     0      |     2      |
|     explosion      |     0      |     0      |     0      |     1      |     0      |
|        expo        |     0      |     0      |     0      |     0      |     1      |
|    expressions     |     0      |     0      |     0      |     0      |     1      |
|        ext         |     0      |     0      |     0      |     0      |     1      |
|      extends       |     0      |     0      |     0      |     0      |     1      |
|     extensive      |     0      |     0      |     0      |     0      |     1      |
|       extent       |     0      |     0      |     0      |     1      |     1      |
|      external      |     0      |     0      |     0      |     0      |     1      |
|   extraordinary    |     0      |     0      |     0      |     0      |     1      |
|         ez         |     0      |     0      |     0      |     0      |     1      |
|         fa         |     0      |     0      |     0      |     0      |     1      |
|      fabrics       |     0      |     0      |     0      |     0      |     1      |
|        face        |     0      |     0      |     0      |     0      |     1      |
|       faces        |     0      |     0      |     0      |     0      |     1      |
|       facial       |     0      |     0      |     0      |     0      |     1      |
|     facilitate     |     0      |     0      |     1      |     0      |     0      |
|      factors       |     0      |     0      |     0      |     0      |     1      |
|      factory       |     0      |     0      |     0      |     0      |     1      |
|       facts        |     0      |     0      |     0      |     0      |     1      |
|      faculty       |     0      |     1      |     0      |     0      |     0      |
|      failure       |     0      |     0      |     0      |     0      |     1      |
|        fame        |     0      |     0      |     0      |     0      |     1      |
|      families      |     0      |     0      |     0      |     0      |     1      |
|       family       |     0      |     0      |     0      |     0      |     1      |
|       famous       |     0      |     0      |     0      |     0      |     1      |
|       fancy        |     0      |     0      |     0      |     0      |     2      |
|        fans        |     0      |     0      |     0      |     0      |     1      |
|     fantastic      |     0      |     0      |     0      |     0      |     1      |
|        faq         |     0      |     0      |     0      |     0      |     1      |
|        faqs        |     0      |     0      |     0      |     0      |     1      |
|        far         |     0      |     0      |     0      |     1      |     1      |
|       fares        |     0      |     0      |     0      |     0      |     1      |
|        farm        |     0      |     0      |     0      |     2      |     1      |
|      farmers       |     0      |     0      |     0      |     0      |     1      |
|       farms        |     0      |     0      |     0      |     0      |     1      |
|    fascinating     |     0      |     0      |     0      |     0      |     2      |
|        fast        |     0      |     0      |     0      |     0      |     1      |
|       faster       |     0      |     0      |     0      |     0      |     1      |
|       fatal        |     0      |     0      |     0      |     0      |     2      |
|       father       |     1      |     0      |     0      |     0      |     1      |
|      fathers       |     0      |     0      |     0      |     0      |     1      |
|      favorite      |     0      |     0      |     0      |     1      |     2      |
|     favorites      |     0      |     0      |     0      |     0      |     1      |
|       favour       |     0      |     0      |     0      |     0      |     1      |
|         fc         |     0      |     0      |     1      |     0      |     0      |
|        fcc         |     0      |     0      |     0      |     0      |     1      |
|         fd         |     0      |     0      |     1      |     0      |     1      |
|        fear        |     0      |     0      |     0      |     0      |     1      |
|      featured      |     0      |     0      |     0      |     0      |     1      |
|      federal       |     0      |     0      |     0      |     1      |     2      |
|     federation     |     0      |     0      |     0      |     0      |     1      |
|      feedback      |     0      |     0      |     0      |     0      |     1      |
|      feeding       |     0      |     1      |     0      |     0      |     1      |
|        feel        |     0      |     0      |     0      |     0      |     1      |
|      feelings      |     0      |     0      |     0      |     1      |     0      |
|       feels        |     0      |     0      |     1      |     0      |     0      |
|        fees        |     0      |     0      |     0      |     0      |     1      |
|       female       |     0      |     0      |     0      |     0      |     1      |
|      females       |     0      |     1      |     0      |     0      |     0      |
|       fence        |     0      |     0      |     0      |     0      |     1      |
|       ferry        |     0      |     0      |     0      |     0      |     1      |
|      festival      |     0      |     0      |     0      |     0      |     1      |
|       fetish       |     0      |     0      |     0      |     0      |     1      |
|        few         |     0      |     0      |     0      |     0      |     1      |
|       fibre        |     0      |     0      |     0      |     0      |     1      |
|      fiction       |     0      |     0      |     0      |     0      |     2      |
|       fields       |     0      |     0      |     0      |     1      |     0      |
|       fifth        |     0      |     0      |     0      |     1      |     2      |
|       fifty        |     0      |     0      |     0      |     0      |     1      |
|       fight        |     0      |     0      |     0      |     0      |     1      |
|      fighter       |     0      |     0      |     0      |     0      |     2      |
|       figure       |     0      |     0      |     0      |     0      |     1      |
|        fiji        |     0      |     0      |     0      |     0      |     1      |
|       filed        |     0      |     0      |     0      |     1      |     3      |
|       filing       |     0      |     0      |     0      |     0      |     1      |
|        fill        |     0      |     1      |     0      |     0      |     0      |
|       filme        |     0      |     4      |     0      |     0      |     1      |
|       filter       |     0      |     1      |     0      |     0      |     0      |
|      filters       |     0      |     0      |     0      |     0      |     1      |
|        fin         |     0      |     0      |     0      |     0      |     1      |
|      finally       |     0      |     0      |     0      |     1      |     1      |
|       finals       |     0      |     0      |     0      |     0      |     1      |
|      finances      |     0      |     0      |     0      |     0      |     1      |
|     financing      |     0      |     0      |     1      |     0      |     0      |
|        find        |     0      |     0      |     0      |     0      |     1      |
|       finder       |     0      |     0      |     0      |     0      |     1      |
|      findlaw       |     0      |     0      |     0      |     0      |     1      |
|       finds        |     0      |     0      |     0      |     1      |     0      |
|       finger       |     0      |     0      |     1      |     0      |     1      |
|       finish       |     0      |     0      |     0      |     0      |     1      |
|      finished      |     0      |     0      |     0      |     0      |     1      |
|     finishing      |     0      |     0      |     0      |     0      |     2      |
|      finnish       |     0      |     0      |     0      |     0      |     2      |
|      fioricet      |     0      |     1      |     0      |     0      |     0      |
|       firms        |     1      |     0      |     1      |     0      |     2      |
|      firmware      |     0      |     0      |     0      |     0      |     1      |
|       fiscal       |     0      |     0      |     0      |     0      |     1      |
|       fisher       |     0      |     0      |     0      |     0      |     1      |
|      fishing       |     0      |     0      |     0      |     0      |     1      |
|        fist        |     0      |     0      |     0      |     0      |     1      |
|        fit         |     0      |     0      |     0      |     0      |     1      |
|      fitting       |     0      |     0      |     0      |     0      |     1      |
|        fix         |     0      |     0      |     0      |     0      |     1      |
|       fixed        |     0      |     0      |     0      |     0      |     1      |
|       fixes        |     0      |     0      |     0      |     0      |     1      |
|      fixtures      |     0      |     0      |     0      |     0      |     1      |
|        flag        |     0      |     0      |     0      |     0      |     2      |
|       flash        |     0      |     0      |     0      |     0      |     1      |
|      flashers      |     0      |     0      |     0      |     0      |     1      |
|      flashing      |     0      |     0      |     0      |     0      |     1      |
|      flexible      |     0      |     0      |     0      |     0      |     1      |
|       flickr       |     0      |     0      |     0      |     1      |     1      |
|       flight       |     0      |     0      |     0      |     0      |     2      |
|        flip        |     0      |     0      |     0      |     0      |     1      |
|       flood        |     0      |     0      |     2      |     0      |     0      |
|       floral       |     0      |     0      |     0      |     0      |     1      |
|      florida       |     0      |     0      |     0      |     0      |     1      |
|      florists      |     0      |     0      |     0      |     0      |     1      |
|       flower       |     0      |     0      |     0      |     0      |     1      |
|        flu         |     0      |     0      |     0      |     0      |     1      |
|       fluid        |     0      |     0      |     1      |     0      |     0      |
|        fly         |     0      |     0      |     0      |     0      |     2      |
|       flying       |     0      |     0      |     0      |     1      |     0      |
|       focus        |     0      |     0      |     0      |     1      |     1      |
|      focused       |     0      |     0      |     0      |     1      |     1      |
|      focuses       |     0      |     0      |     0      |     0      |     1      |
|      focusing      |     0      |     0      |     0      |     1      |     1      |
|        fold        |     0      |     0      |     0      |     0      |     3      |
|       folder       |     0      |     0      |     0      |     1      |     0      |
|      folding       |     0      |     0      |     0      |     1      |     0      |
|     following      |     0      |     0      |     0      |     0      |     1      |
|        font        |     0      |     0      |     0      |     0      |     1      |
|       fonts        |     1      |     0      |     0      |     0      |     1      |
|        food        |     0      |     0      |     0      |     0      |     1      |
|       foods        |     0      |     0      |     0      |     1      |     0      |
|        for         |     0      |     0      |     1      |     0      |     0      |
|       force        |     0      |     0      |     0      |     0      |     1      |
|        ford        |     0      |     0      |     1      |     0      |     0      |
|      forecast      |     0      |     0      |     0      |     0      |     1      |
|     forecasts      |     0      |     0      |     0      |     0      |     1      |
|      foreign       |     0      |     0      |     0      |     1      |     0      |
|       forest       |     0      |     0      |     0      |     0      |     1      |
|      forests       |     0      |     0      |     0      |     0      |     1      |
|      forever       |     0      |     0      |     0      |     0      |     1      |
|       forget       |     0      |     0      |     0      |     0      |     1      |
|       forgot       |     0      |     0      |     1      |     1      |     0      |
|     forgotten      |     0      |     0      |     1      |     0      |     2      |
|        fork        |     0      |     0      |     0      |     0      |     1      |
|        form        |     0      |     1      |     0      |     0      |     0      |
|      formats       |     0      |     0      |     1      |     0      |     2      |
|     formatting     |     0      |     0      |     0      |     0      |     1      |
|       former       |     0      |     0      |     0      |     0      |     1      |
|       forms        |     0      |     0      |     1      |     1      |     0      |
|      formula       |     0      |     0      |     1      |     0      |     0      |
|        fort        |     0      |     0      |     0      |     1      |     2      |
|      fortune       |     0      |     0      |     0      |     0      |     1      |
|       forty        |     0      |     0      |     0      |     0      |     1      |
|       forums       |     0      |     0      |     0      |     0      |     2      |
|      forward       |     0      |     0      |     0      |     0      |     2      |
|       fossil       |     0      |     0      |     0      |     0      |     2      |
|       fought       |     0      |     0      |     0      |     2      |     0      |
|       found        |     0      |     0      |     0      |     0      |     2      |
|     foundation     |     0      |     0      |     0      |     0      |     1      |
|    foundations     |     0      |     0      |     0      |     0      |     1      |
|      founded       |     0      |     0      |     0      |     0      |     3      |
|     fragrance      |     0      |     0      |     0      |     0      |     2      |
|     fragrances     |     0      |     0      |     0      |     1      |     0      |
|       framed       |     0      |     0      |     0      |     0      |     1      |
|      framing       |     0      |     0      |     0      |     0      |     1      |
|       france       |     0      |     0      |     0      |     1      |     0      |
|     francisco      |     0      |     0      |     0      |     0      |     1      |
|       frank        |     0      |     0      |     0      |     0      |     2      |
|     frankfurt      |     0      |     0      |     0      |     0      |     1      |
|      franklin      |     0      |     0      |     0      |     0      |     1      |
|       fraud        |     0      |     0      |     0      |     1      |     0      |
|        fred        |     0      |     0      |     0      |     0      |     2      |
|     frederick      |     0      |     0      |     0      |     0      |     1      |
|        free        |     0      |     0      |     0      |     0      |     1      |
|      freebsd       |     0      |     0      |     1      |     0      |     0      |
|     freelance      |     0      |     0      |     0      |     1      |     0      |
|      freight       |     0      |     0      |     0      |     0      |     1      |
|      frequent      |     0      |     0      |     0      |     0      |     1      |
|     frequently     |     0      |     0      |     0      |     1      |     2      |
|       fresh        |     0      |     0      |     1      |     0      |     1      |
|        fri         |     0      |     0      |     0      |     0      |     1      |
|       fridge       |     0      |     0      |     0      |     1      |     0      |
|        from        |     0      |     0      |     0      |     0      |     2      |
|      frontier      |     0      |     0      |     0      |     0      |     1      |
|       frozen       |     0      |     1      |     0      |     0      |     0      |
|       fruits       |     0      |     0      |     0      |     0      |     1      |
|         fs         |     0      |     0      |     0      |     1      |     0      |
|         ft         |     0      |     0      |     0      |     1      |     0      |
|        ftp         |     0      |     0      |     0      |     1      |     1      |
|      fucking       |     0      |     0      |     0      |     2      |     0      |
|       fully        |     0      |     0      |     0      |     0      |     2      |
|        fun         |     0      |     0      |     0      |     0      |     1      |
|    fundamental     |     0      |     0      |     0      |     0      |     1      |
|       funded       |     0      |     0      |     0      |     0      |     1      |
|       funky        |     0      |     0      |     0      |     0      |     1      |
|        fur         |     0      |     0      |     0      |     0      |     1      |
|     furnished      |     0      |     0      |     0      |     0      |     1      |
|    furthermore     |     0      |     0      |     1      |     0      |     1      |
|       future       |     0      |     0      |     0      |     0      |     1      |
|      futures       |     0      |     0      |     0      |     0      |     1      |
|         fw         |     0      |     0      |     0      |     0      |     1      |
|        fwd         |     0      |     0      |     0      |     0      |     2      |
|         fy         |     0      |     0      |     1      |     0      |     1      |
|         ga         |     0      |     0      |     0      |     1      |     0      |
|        gage        |     0      |     0      |     0      |     0      |     1      |
|        gain        |     0      |     0      |     0      |     0      |     1      |
|        gale        |     0      |     0      |     0      |     0      |     1      |
|     galleries      |     0      |     1      |     0      |     0      |     0      |
|      gambling      |     0      |     0      |     0      |     0      |     1      |
|        game        |     0      |     0      |     0      |     0      |     3      |
|      gamespot      |     0      |     0      |     0      |     1      |     0      |
|       gaming       |     0      |     0      |     0      |     0      |     2      |
|        gang        |     0      |     0      |     0      |     0      |     1      |
|       garage       |     0      |     0      |     0      |     0      |     1      |
|     gardening      |     0      |     0      |     1      |     0      |     1      |
|      gardens       |     0      |     0      |     1      |     0      |     0      |
|       garlic       |     0      |     0      |     0      |     0      |     2      |
|       garmin       |     0      |     0      |     0      |     0      |     1      |
|        gary        |     0      |     0      |     0      |     0      |     1      |
|        gate        |     0      |     0      |     0      |     0      |     2      |
|      gateway       |     0      |     0      |     0      |     1      |     0      |
|       gather       |     0      |     0      |     0      |     0      |     2      |
|      gathered      |     0      |     0      |     0      |     1      |     0      |
|        gay         |     0      |     0      |     0      |     0      |     1      |
|      gazette       |     0      |     0      |     0      |     0      |     2      |
|        gbp         |     0      |     0      |     0      |     0      |     2      |
|         gd         |     0      |     0      |     0      |     1      |     0      |
|        gdp         |     0      |     0      |     0      |     0      |     1      |
|         ge         |     0      |     0      |     0      |     1      |     0      |
|        gel         |     0      |     0      |     0      |     0      |     1      |
|     genealogy      |     0      |     0      |     0      |     0      |     1      |
|     generally      |     0      |     0      |     0      |     0      |     1      |
|     generators     |     0      |     0      |     0      |     0      |     1      |
|      generous      |     0      |     0      |     0      |     0      |     1      |
|       genes        |     0      |     0      |     0      |     0      |     1      |
|      genetics      |     0      |     0      |     1      |     0      |     0      |
|       genome       |     0      |     1      |     0      |     0      |     0      |
|       genres       |     0      |     0      |     0      |     0      |     1      |
|     gentleman      |     0      |     0      |     0      |     0      |     1      |
|       gently       |     0      |     0      |     0      |     0      |     1      |
|      genuine       |     0      |     0      |     0      |     0      |     1      |
|        geo         |     0      |     0      |     0      |     0      |     2      |
|     geography      |     0      |     0      |     1      |     0      |     0      |
|       george       |     0      |     0      |     0      |     0      |     1      |
|       german       |     0      |     0      |     0      |     0      |     1      |
|        get         |     0      |     0      |     0      |     0      |     1      |
|      getting       |     0      |     0      |     0      |     0      |     2      |
|        ghz         |     0      |     0      |     0      |     0      |     1      |
|         gi         |     0      |     0      |     0      |     1      |     0      |
|     gibraltar      |     0      |     0      |     0      |     1      |     0      |
|       gifts        |     0      |     0      |     0      |     1      |     1      |
|        girl        |     0      |     0      |     0      |     0      |     2      |
|     girlfriend     |     0      |     0      |     0      |     0      |     1      |
|       girls        |     0      |     0      |     0      |     0      |     1      |
|       given        |     0      |     0      |     0      |     0      |     2      |
|         gl         |     0      |     0      |     0      |     1      |     0      |
|        glad        |     0      |     0      |     0      |     0      |     1      |
|       glenn        |     1      |     0      |     0      |     1      |     1      |
|       global       |     0      |     0      |     0      |     0      |     1      |
|       glory        |     0      |     0      |     0      |     0      |     2      |
|      glossary      |     0      |     0      |     0      |     0      |     1      |
|       gloves       |     0      |     0      |     0      |     1      |     0      |
|        glow        |     0      |     0      |     0      |     1      |     0      |
|         gm         |     0      |     0      |     0      |     0      |     1      |
|       goals        |     0      |     1      |     0      |     0      |     1      |
|        goat        |     0      |     0      |     0      |     1      |     0      |
|        goes        |     0      |     0      |     0      |     0      |     1      |
|        gold        |     0      |     0      |     0      |     0      |     2      |
|        golf        |     0      |     0      |     0      |     0      |     2      |
|       gordon       |     0      |     0      |     0      |     0      |     1      |
|        gore        |     0      |     0      |     0      |     0      |     1      |
|       gospel       |     0      |     0      |     0      |     0      |     1      |
|       gossip       |     0      |     0      |     0      |     0      |     2      |
|       gothic       |     1      |     0      |     0      |     0      |     0      |
|        goto        |     0      |     0      |     0      |     0      |     1      |
|       gotta        |     0      |     0      |     0      |     0      |     1      |
|      gourmet       |     0      |     0      |     1      |     0      |     1      |
|        gov         |     0      |     0      |     0      |     0      |     1      |
|     government     |     0      |     0      |     0      |     0      |     1      |
|    governments     |     0      |     0      |     1      |     0      |     0      |
|      governor      |     0      |     0      |     0      |     1      |     0      |
|        govt        |     0      |     0      |     0      |     0      |     1      |
|        gps         |     0      |     0      |     0      |     0      |     4      |
|        grab        |     0      |     0      |     0      |     0      |     1      |
|       grace        |     0      |     0      |     0      |     0      |     1      |
|        grad        |     0      |     0      |     0      |     1      |     1      |
|       grade        |     0      |     0      |     0      |     0      |     1      |
|     gradually      |     0      |     0      |     1      |     0      |     0      |
|       graham       |     0      |     0      |     1      |     0      |     0      |
|      grammar       |     0      |     0      |     0      |     0      |     1      |
|       grande       |     0      |     0      |     0      |     1      |     0      |
|       grants       |     0      |     0      |     0      |     0      |     1      |
|       graph        |     0      |     0      |     0      |     0      |     2      |
|      graphics      |     0      |     0      |     0      |     0      |     1      |
|      gravity       |     0      |     0      |     0      |     0      |     1      |
|        gray        |     0      |     0      |     0      |     0      |     1      |
|       great        |     0      |     0      |     0      |     1      |     0      |
|      greater       |     0      |     0      |     0      |     0      |     1      |
|       greece       |     0      |     0      |     0      |     1      |     2      |
|       green        |     0      |     0      |     0      |     0      |     1      |
|       greene       |     0      |     0      |     0      |     0      |     1      |
|        greg        |     0      |     0      |     0      |     0      |     1      |
|      gregory       |     0      |     0      |     0      |     0      |     1      |
|      grenada       |     0      |     0      |     0      |     0      |     1      |
|        grey        |     0      |     0      |     0      |     0      |     1      |
|        grid        |     0      |     0      |     0      |     1      |     1      |
|       grill        |     0      |     0      |     0      |     0      |     1      |
|        grip        |     0      |     0      |     0      |     0      |     1      |
|      grocery       |     0      |     0      |     0      |     0      |     2      |
|       gross        |     0      |     0      |     0      |     0      |     1      |
|       ground       |     0      |     0      |     0      |     0      |     3      |
|       grove        |     0      |     0      |     0      |     0      |     1      |
|      growing       |     0      |     0      |     1      |     0      |     0      |
|       grown        |     0      |     0      |     0      |     1      |     2      |
|        gtk         |     0      |     0      |     0      |     1      |     3      |
|     guaranteed     |     0      |     0      |     0      |     0      |     1      |
|       guard        |     0      |     0      |     0      |     1      |     0      |
|      guardian      |     0      |     0      |     0      |     0      |     1      |
|     guatemala      |     0      |     0      |     0      |     0      |     2      |
|       guest        |     0      |     0      |     0      |     0      |     1      |
